Company,Job Title,Location,Category,Contact Email,Apply URL,Team Size
7Analytics,Frontend Developer,Oslo,🔌 Integrations / Systems / Tech,contact@7analytics.ai,https://jobs.startuplab.no/companies/visoid/jobs/74271084-frontend-developer#content,20-30
AIRMO,LiDAR / Calibration / Validation Engineer (Optical Systems) (w/m/d),Berlin,🔌 Integrations / Systems / Tech,info@airmo.io,https://airmo.jobs.personio.com/job/2643029,11-50
AXDRAFT,Senior Software Developer in Test,Pune,🔌 Integrations / Systems / Tech,info@axdraft.com,https://jobs.lever.co/onit/c8ad3af6-0dc8-46c3-a6ee-6faf9a6c4f17,14-34
Akiflow,Full Stack Developer/Growth Engineer,Remote,🔌 Integrations / Systems / Tech,info@akiflow.com,https://akiflow.com/careers/full-stack-developer,18-23
Animaj,Data Scientist / Applied AI Developer,Paris,🔌 Integrations / Systems / Tech,lise@animaj.com,https://animaj.welcomekit.co/jobs/data-scientist-applied-ai-developer_paris,11-50
Azumuta,Robotics Systems Engineer,Ghent,🔌 Integrations / Systems / Tech,benny.waelput@azumuta.com,https://azumuta.recruitee.com/o/robotics-systems-engineer,20-30
Bavest,Python Developer (m/w/d),Frankfurt,🔌 Integrations / Systems / Tech,career@bavest.co,https://www.bavest.co/en/careers/python-developer,10-20
Born Digital,Integration Engineer,Prague,🔌 Integrations / Systems / Tech,info@borndigital.ai,https://borndigital.ai/company/careers-open-jobs-in-ai-startup/integration-engineer/,45-45
Brickken,Blockchain Developer,Remote,🔌 Integrations / Systems / Tech,hello@brickken.com,https://brickken.com/about-us,11-50
CTHINGS.CO,IoT Solutions Architect,Warsaw,🔌 Integrations / Systems / Tech,contact@cthings.co,https://cthings.co/about-us,20-30
Cargoplot,Medior to senior backend developer,Amsterdam,🔌 Integrations / Systems / Tech,info@cargoplot.com,https://www.cargoplot.com/company/careers/backend-developer,11-50
CharlieHR,Product Developer,London,🔌 Integrations / Systems / Tech,hello@charliehr.com,https://www.charliehr.com/product,25-35
ChemInnovation,Software Developer,Remote,🔌 Integrations / Systems / Tech,philipp.pflueger@cheminnovation.de,https://cheminnovation.de/karriere,5-10
Chift,Full Stack Developer (TypeScript),Brussels,🔌 Integrations / Systems / Tech,info@chift.eu,https://chift.notion.site/Full-Stack-Developer-TypeScript-30aea3e082ff80f886afc525945b4b67,31-37
Churned,Full Stack Developer (3+ years experience),Amsterdam,🔌 Integrations / Systems / Tech,team@churned.io,https://churned.io/careers/vacancies/full-stack-developer-(3-years-experience),11-50
Cloover,Senior BI Developer (on-site),Berlin,🔌 Integrations / Systems / Tech,contact@cloover.co,https://cloover.jobs.personio.com/job/2509313,11-50
Coinpanda,Integrations Manager,Oslo,🔌 Integrations / Systems / Tech,careers@coinpanda.io,https://coinpanda.io/careers/integrations-manager,11-50
Companion.energy,Solutions Engineer,Ghent,🔌 Integrations / Systems / Tech,apply@companion.energy,,10-25
Conduct,ABAP Developer,London,🔌 Integrations / Systems / Tech,data@conduct-ai.com,https://jobs.ashbyhq.com/conduct/fbd76fa7-aaf4-443d-80a9-3eea2a391622,11-50
Crypto Quantique,Backend Developer,London,🔌 Integrations / Systems / Tech,pr@cryptoquantique.com,https://www.cryptoquantique.com/careers/backend-developer,11-50
Cyscale,Golang Developer,Remote,🔌 Integrations / Systems / Tech,support@cyscale.com,https://cyscale.com/careers/backend-developer,10-25
Donna,Senior Back-end Developer,Ghent,🔌 Integrations / Systems / Tech,info@askdonna.com,https://careers.askdonna.com/o/senior-back-end-developer,38-45
Dotfile,Sales Engineer / Solutions Consultant,Paris,🔌 Integrations / Systems / Tech,hello@dotfile.com,https://jobs.ashbyhq.com/dotfile/b51f6139-e873-46f5-a868-8b40d375647c,11-50
Dotfile,Sales Engineer / Solutions Consultant,London,🔌 Integrations / Systems / Tech,hello@dotfile.com,https://jobs.ashbyhq.com/dotfile/3fb6df11-b26c-4ff8-a0d1-426c48414a5b,11-50
Dreamdata,Automation Engineer (Commercial Systems),Copenhagen,🔌 Integrations / Systems / Tech,friends@dreamdata.io,https://apply.workable.com/dreamdata/j/B6487D9313/,40-50
Dropon,Full Stack Software Developer,Ghent,🔌 Integrations / Systems / Tech,anthony@dropon.io,https://www.dropon.io/careers/full-stack,5-10
