Company,Job Title,Location,Category,Decision Maker,Role,Emails,Apply URL
7Analytics,Frontend Developer,Oslo,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"contact@7analytics.ai, ceo@7analytics.com, founders@7analytics.com, careers@7analytics.com",https://jobs.startuplab.no/companies/visoid/jobs/74271084-frontend-developer#content
AIRMO,LiDAR / Calibration / Validation Engineer (Optical Systems) (w/m/d),Berlin,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"info@airmo.io, ceo@airmo.com, founders@airmo.com, careers@airmo.com",https://airmo.jobs.personio.com/job/2643029
AXDRAFT,Senior Software Developer in Test,Pune,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"info@axdraft.com, ceo@axdraft.com, founders@axdraft.com, careers@axdraft.com",https://jobs.lever.co/onit/c8ad3af6-0dc8-46c3-a6ee-6faf9a6c4f17
Adaptive ML,ML Developer Experience Engineer,Paris,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"ceo@adaptiveml.com, founders@adaptiveml.com, careers@adaptiveml.com",https://jobs.ashbyhq.com/adaptive-ml/8d711b59-f384-4471-a0e8-73b803826414
Akiflow,Full Stack Developer/Growth Engineer,Remote,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"info@akiflow.com, ceo@akiflow.com, founders@akiflow.com, careers@akiflow.com",https://akiflow.com/careers/full-stack-developer
Alpine Eagle,Product Safety & Certification Engineer – Unmanned Aircraft Systems (UAS) (m/w/d),Karlsruhe,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"ceo@alpineeagle.com, founders@alpineeagle.com, careers@alpineeagle.com",https://job-boards.eu.greenhouse.io/alpineeagle/jobs/4785034101
Animaj,Data Scientist / Applied AI Developer,Paris,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"lise@animaj.com, ceo@animaj.com, founders@animaj.com, careers@animaj.com",https://animaj.welcomekit.co/jobs/data-scientist-applied-ai-developer_paris
Azumuta,Robotics Systems Engineer,Ghent,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"benny.waelput@azumuta.com, ceo@azumuta.com, founders@azumuta.com, careers@azumuta.com",https://azumuta.recruitee.com/o/robotics-systems-engineer
BRIDGE IN,INTERNATIONAL BUSINESS DEVELOPER,Lisbon,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"ceo@bridgein.com, founders@bridgein.com, careers@bridgein.com",https://www.bridgein.pt/international-business-developer
Bavest,Python Developer (m/w/d),Frankfurt,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"career@bavest.co, ceo@bavest.com, founders@bavest.com, careers@bavest.com",https://www.bavest.co/en/careers/python-developer
Belfort,Cryptographic Software Developer,Leuven,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"ceo@belfort.com, founders@belfort.com, careers@belfort.com",https://forms.gle/iqaN6CJrhmJoVkjB7
Born Digital,Integration Engineer,Prague,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"info@borndigital.ai, ceo@borndigital.com, founders@borndigital.com, careers@borndigital.com",https://borndigital.ai/company/careers-open-jobs-in-ai-startup/integration-engineer/
Brickken,Blockchain Developer,Remote,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"hello@brickken.com, ceo@brickken.com, founders@brickken.com, careers@brickken.com",https://brickken.com/about-us
CTHINGS.CO,IoT Solutions Architect,Warsaw,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"contact@cthings.co, ceo@cthingsco.com, founders@cthingsco.com, careers@cthingsco.com",https://cthings.co/about-us
Cargoplot,Medior to senior backend developer,Amsterdam,🔌 Integrations / Systems / Tech,Unknown (Try aliases),,"info@cargoplot.com, ceo@cargoplot.com, founders@cargoplot.com, careers@cargoplot.com",https://www.cargoplot.com/company/careers/backend-developer
